SiteCode,Site.Name,Site.Latitude,Site.Longitude,Country,surveys,Start,Latest,Times,X10,Latitude,Longitude
AL3,Ailuk inside SSW corner,10.22375,169.96187,Republic of the Marshall Islands,1,2014,2014,1,NA,10.22,169.96
AL4,Liklal Island,10.292,169.85435,Republic of the Marshall Islands,2,2014,2014,1,NA,10.29,169.85
AL5,Liklal Island Pass 2,10.25921,169.87247,Republic of the Marshall Islands,1,2014,2014,1,NA,10.26,169.87
AL6,Ailuk Lagoon,10.39396,169.91481,Republic of the Marshall Islands,2,2014,2014,1,NA,10.39,169.91
AL7,Ailuk Nth Pass Outside,10.40857,169.91403,Republic of the Marshall Islands,2,2014,2014,1,NA,10.41,169.91
AL8,Ailuk Middle Pass,10.35851,169.90865,Republic of the Marshall Islands,1,2014,2014,1,NA,10.36,169.91
AND1,Estepona,36.4149,-5.17,Spain,1,2013,2013,1,NA,36.41,-5.17
AND11,Cala del Peñon,36.818073,-2.54291,Spain,1,2014,2014,1,NA,36.82,-2.54
AND12,El díez,36.817398,-2.545138,Spain,1,2014,2014,1,NA,36.82,-2.55
AND13,La isleta del Moro,36.813491,-2.041086,Spain,1,2014,2014,1,NA,36.81,-2.04
AND14,Bello rincon,36.824308,-2.518449,Spain,1,2014,2014,1,NA,36.82,-2.52
AND15,El palmer,36.818552,-2.533686,Spain,1,2014,2014,1,NA,36.82,-2.53
AND16,San Jose Puerto,36.76189,-2.101263,Spain,1,2014,2014,1,NA,36.76,-2.1
AND17,Aguadulce Puerto,36.813957,-2.559509,Spain,1,2014,2014,1,NA,36.81,-2.56
AND18,Cueva del Frances,36.773703,-2.069534,Spain,1,2014,2014,1,NA,36.77,-2.07
AND19,Aguamarga,36.936878,-1.935685,Spain,1,2014,2014,1,NA,36.94,-1.94
AND2,San Pedro de Alcantara,36.4776,-4.9725,Spain,1,2013,2013,1,NA,36.48,-4.97
AND20,Cala del Plomo,36.920171,-1.952525,Spain,1,2014,2014,1,NA,36.92,-1.95
AND21,Pta. Del Castillo,36.752474,-2.114065,Spain,1,2014,2014,1,NA,36.75,-2.11
AND22,La Atalaya,36.767256,-2.078923,Spain,1,2014,2014,1,NA,36.77,-2.08
AND23,Pta. Genoveses I,36.739539,-2.114065,Spain,1,2014,2014,1,NA,36.74,-2.11
AND24,Las Negras,36.883397,-2.000633,Spain,1,2014,2014,1,NA,36.88,-2
AND25,El Playazo,36.86206,-2.004003,Spain,1,2014,2014,1,NA,36.86,-2
AND26,Cala de los Toros,36.820985,-2.04086,Spain,1,2014,2014,1,NA,36.82,-2.04
AND27,Los Muertos I,36.936167,-1.912636,Spain,1,2014,2014,1,NA,36.94,-1.91
AND29,Isla de San Andres I,36.897792,-1.967786,Spain,1,2014,2014,1,NA,36.9,-1.97
AND3,Marbella,36.506100000000004,-4.8926,Spain,1,2013,2013,1,NA,36.51,-4.89
AND31,Camping izquierda,36.824671,-2.5124,Spain,1,2014,2014,1,NA,36.82,-2.51
AND32,Playa de las Olas,36.827938,-2.491041,Spain,1,2014,2014,1,NA,36.83,-2.49
AND35,Pta. Loma pelada (Reserva integral I),36.779832,-2.061853,Spain,1,2014,2014,1,NA,36.78,-2.06
AND36,Pta. Loma pelada (Reserva integral II),36.789917,-2.060558,Spain,1,2014,2014,1,NA,36.79,-2.06
AND37,Pta. De la Polacra (Reserva integral I),36.853246,-1.997806,Spain,1,2014,2014,1,NA,36.85,-2
AND38,Tajo de Calahonda,36.702335,-3.406356,Spain,2,2015,2015,1,NA,36.7,-3.41
AND39,El Rincón,36.71564,-3.362273,Spain,2,2015,2015,1,NA,36.72,-3.36
AND4,Cabo Pino,36.4844,-4.7388,Spain,1,2013,2013,1,NA,36.48,-4.74
AND40,Barranco del Negro,36.73958,-3.325981,Spain,2,2015,2015,1,NA,36.74,-3.33
AND41,Playa cambriles,36.736276,-3.340237,Spain,2,2015,2015,1,NA,36.74,-3.34
AND42,La Rábita,36.748466,-3.176319,Spain,2,2015,2015,1,NA,36.75,-3.18
AND43,Baños de Guarda Viejas II,36.699064,-2.85448,Spain,2,2015,2015,1,NA,36.7,-2.85
AND44,Tesorillo,36.742911,-3.6742911,Spain,2,2015,2015,1,NA,36.74,-3.67
AND45,La Herradura,36.735789,-3.757623,Spain,2,2015,2015,1,NA,36.74,-3.76
AND46,Pta. De la Mona,36.720552,-3.728413,Spain,2,2015,2015,1,NA,36.72,-3.73
AND47,Zacatín,36.706799,-3.402366,Spain,2,2015,2015,1,NA,36.71,-3.4
AND48,La Rijana,36.708753,-3.388674,Spain,2,2015,2015,1,NA,36.71,-3.39
AND49,La caleta de Salobreña,36.744193,-3.602404,Spain,2,2015,2015,1,NA,36.74,-3.6
AND5,El Faro,36.5063,-4.6435,Spain,1,2013,2013,1,NA,36.51,-4.64
AND51,Torrequebrada,36.57911,-4.54429,Spain,2,2015,2015,1,NA,36.58,-4.54
AND52,Maro cerro gordo (Reserva integral I),36.729486,-3.768328,Spain,1,2015,2015,1,NA,36.73,-3.77
AND54,Maro fuera reserva,36.753408,-3.836721,Spain,1,2015,2015,1,NA,36.75,-3.84
AND55,La perla,36.425684,-5.124615,Spain,2,2015,2015,1,NA,36.43,-5.12
AND56,Playa de Guadalmansa,36.451485,-5.049381,Spain,2,2015,2015,1,NA,36.45,-5.05
AND57,Isla de Tarifa (Parque Natural I),36.004045,-5.612578,Spain,2,2015,2015,1,NA,36,-5.61
AND61,Isla de Alborán (Reserva integral I),35.93983,-3.032507,Spain,2,2015,2015,1,NA,35.94,-3.03
AND64,Isla San Andrés (Parque Natural),36.992719,-1.886443,Spain,2,2015,2015,1,NA,36.99,-1.89
AND65,Isla San Juan,37.34797,-1.652119,Spain,2,2015,2015,1,NA,37.35,-1.65
AND66,Villaricos Norte,37.307648,-1.704479,Spain,2,2015,2015,1,NA,37.31,-1.7
AND7,Adra,36.7432,-3.0128,Spain,1,2013,2013,1,NA,36.74,-3.01
AND8,Almeria puerto,36.83,-2.4575,Spain,1,2013,2013,1,NA,36.83,-2.46
ANT1,South Cove South of T310m,-67.5697,-68.1319,Antarctica,1,2016,2016,1,NA,-67.57,-68.13
ANT7,Trovall,-67.595833,-68.2114,Antarctica,1,2016,2016,1,NA,-67.6,-68.21
ANT8,Shacks crack,-67.554583,-68.197183,Antarctica,1,2016,2016,1,NA,-67.55,-68.2
ANT9,Anchorage Wall,-67.599444,-68.193888,Antarctica,1,2016,2016,1,NA,-67.6,-68.19
ARG1,San Roman,-42.25556,-64.23408,Argentina,2,2012,2012,1,NA,-42.26,-64.23
ARG10,Los Bollones,-42.93361,-64.50111,Argentina,1,2012,2012,1,NA,-42.93,-64.5
ARG11,Punta la Islita,-41.95856,-65.05808,Argentina,1,2012,2012,1,NA,-41.96,-65.06
ARG12,La Islita,-41.95203,-65.06206,Argentina,2,2012,2012,1,NA,-41.95,-65.06
ARG13,Alejos Crack,-41.94308,-65.05764,Argentina,2,2012,2012,1,NA,-41.94,-65.06
ARG2,Pafer,-42.62544,-64.25611,Argentina,1,2012,2012,1,NA,-42.63,-64.26
ARG3,PNU,-42.62194,-64.275,Argentina,2,2012,2012,1,NA,-42.62,-64.28
ARG4,Colombo,-42.62836,-64.24044,Argentina,1,2012,2012,1,NA,-42.63,-64.24
ARG5,Wreck Mirralles,-42.76925,-64.97011,Argentina,1,2012,2012,1,NA,-42.77,-64.97
ARG6,Punta Este,-42.77528,-64.94983,Argentina,2,2012,2012,1,NA,-42.78,-64.95
ARG7,Sitio Top Secret,-42.77069,-64.93636,Argentina,1,2012,2012,1,NA,-42.77,-64.94
ARG8,El Bosque,-42.94156,-64.45508,Argentina,2,2012,2012,1,NA,-42.94,-64.46
ARG9,El Pedral,-42.94778,-64.43342,Argentina,2,2012,2012,1,NA,-42.95,-64.43
AST1,Portizuelo,43.549192,-6.517903,Spain,2,2015,2015,1,NA,43.55,-6.52
AST2,Coaña,43.557037,-6.787151,Spain,2,2015,2015,1,NA,43.56,-6.79
AST3,Las Gemelas,43.556118,-5.608469,Spain,2,2015,2015,1,NA,43.56,-5.61
AST4,Tazones,43.54603,-5.397237,Spain,2,2015,2015,1,NA,43.55,-5.4
AST5,Playa de Troanzo,43.439085,-4.819237,Spain,2,2015,2015,1,NA,43.44,-4.82
AST6,Pendueles,43.398581,-4.62804,Spain,2,2015,2015,1,NA,43.4,-4.63
BA1,Pulau Kasiui SW,-4.53,131.6519,Indonesia,2,2015,2015,1,NA,-4.53,131.65
BA10,Seaweed Farm,-5.63704,132.62948,Indonesia,2,2015,2015,1,NA,-5.64,132.63
BA11,Karang Mitlilir,-5.66913,132.58354,Indonesia,2,2015,2015,1,NA,-5.67,132.58
BA12,Pulau Liek,-5.78261,132.62649,Indonesia,2,2015,2015,1,NA,-5.78,132.63
BA13,Kai Tanimbar,-6.00515,132.42802,Indonesia,2,2015,2015,1,NA,-6.01,132.43
BA2,Pulau Baam NW,-4.58683,131.68701,Indonesia,2,2015,2015,1,NA,-4.59,131.69
BA3,Pulau Kurkap,-4.53805,131.78299,Indonesia,2,2015,2015,1,NA,-4.54,131.78
BA4,Pulau Tioor NW,-4.71804,131.72684,Indonesia,2,2015,2015,1,NA,-4.72,131.73
BA5,Pulau-Pulau Kai North,-5.13609,132.01311,Indonesia,2,2015,2015,1,NA,-5.14,132.01
BA6,Pulau-Pulau Kai South,-5.1746,132.00893,Indonesia,2,2015,2015,1,NA,-5.17,132.01
BA7,Kanar Yapas,-5.30438,131.99694,Indonesia,2,2015,2015,1,NA,-5.3,132
BA8,Pulau Ubur West,-5.57744,132.70777,Indonesia,2,2015,2015,1,NA,-5.58,132.71
BA9,Pulau Krus West,-5.57774,132.66299,Indonesia,2,2015,2015,1,NA,-5.58,132.66
BAL1,San Antonio,38.991002,1.28736,Spain,2,2015,2015,1,NA,38.99,1.29
BAL10,Sureste (integral),39.288785,3.095296,Spain,2,2015,2015,1,NA,39.29,3.1
BAL11,Imperial (reserva marina),39.124984,2.954034,Spain,2,2015,2015,1,NA,39.12,2.95
BAL12,Imperial (integral),39.126115,2.949148,Spain,2,2015,2015,1,NA,39.13,2.95
BAL13,Cabrera II (reserva marina),39.156335,2.933814,Spain,2,2015,2015,1,NA,39.16,2.93
BAL14,Cabrera II (integral),39.156154,2.948873,Spain,2,2015,2015,1,NA,39.16,2.95
BAL15,Isla Conejera (Reserva marina),39.184053,2.960059,Spain,2,2015,2015,1,NA,39.18,2.96
BAL16,Cala pi,39.364969,2.851541,Spain,2,2015,2015,1,NA,39.36,2.85
BAL17,Palma (integral),39.452187,2.736368,Spain,2,2015,2015,1,NA,39.45,2.74
BAL19,Bendinat,39.531624,2.580929,Spain,2,2015,2015,1,NA,39.53,2.58
BAL2,Portinax,39.111291,1.516081,Spain,2,2015,2015,1,NA,39.11,1.52
BAL20,Formentera,38.702555,1.388976,Spain,2,2015,2015,1,NA,38.7,1.39
BAL21,Formentera I (integral),38.802296,1.476056,Spain,2,2015,2015,1,NA,38.8,1.48
BAL23,Aeropuerto ( reserva marina),38.8443331,1.368918,Spain,2,2015,2015,1,NA,38.84,1.37
BAL3,San Vicente,39.080825,1.60931,Spain,2,2015,2015,1,NA,39.08,1.61
BAL4,Canar,39.002107,1.586715,Spain,2,2015,2015,1,NA,39,1.59
BAL5,Andratx,39.538274,2.374575,Spain,2,2015,2015,1,NA,39.54,2.37
BAL6,Cala de estellens,39.658316,2.469538,Spain,2,2015,2015,1,NA,39.66,2.47
BAL7,Cala de  Tomas,39.953005,3.182613,Spain,2,2015,2015,1,NA,39.95,3.18
BAL8,Cala Rajada (reserva marina),39.709704,3.474203,Spain,2,2015,2015,1,NA,39.71,3.47
BAL9,Portcolom,39.417683,3.270128,Spain,2,2015,2015,1,NA,39.42,3.27
BALI1,Liberty wreck,-8.277,115.5945,Indonesia,2,2008,2009,2,NA,-8.28,115.59
BALI3,Drop off below temple,-8.27899,115.59646,Indonesia,3,2009,2014,3,NA,-8.28,115.6
BC1,Mercury,51.7441833,-128.0713,Canada,1,2017,2017,1,NA,51.74,-128.07
BC2,Kelpie Point,51.7339,-127.99671,Canada,1,2017,2017,1,NA,51.73,-128
BC3,West Beach,51.6490833,-128.15116,Canada,1,2017,2017,1,NA,51.65,-128.15
BC4,Triquet,51.8036333,-128.25416,Canada,1,2017,2017,1,NA,51.8,-128.25
BC5,North Beach,51.6670333,-128.13995,Canada,1,2017,2017,1,NA,51.67,-128.14
BC6,West Beach Nereo,51.6491,-128.15525,Canada,1,2017,2017,1,NA,51.65,-128.16
BC7,Rattenbury,51.7011833,-128.07386,Canada,1,2017,2017,1,NA,51.7,-128.07
BC8,Starfish,51.68025,-128.1261,Canada,1,2017,2017,1,NA,51.68,-128.13
BCPD1,Joan Point,-43.34206,146.0868,Australia,2,2012,2012,1,NA,-43.34,146.09
BCPD2,Forrester Point,-43.33992,146.00715,Australia,2,2012,2012,1,NA,-43.34,146.01
BH-S1,Sarah Island,-43.330558,145.99501,Australia,4,2013,2013,1,NA,-43.33,146
BI-S1,South East Governor Isle,-41.87447,148.3143,Australia,8,NA,NA,10,NA,-41.87,148.31
BI-S3,Waubs Bay,-41.86864,148.3034,Australia,8,NA,NA,10,NA,-41.87,148.3
BI-S4,"Blow Hole, Bicheno",-41.88012,148.3098,NA,4,2013,2013,1,NA,-41.88,148.31
BI-S5,Halfway Point,-41.90329,148.3163,Australia,4,NA,NA,10,NA,-41.9,148.32
BMP-S10,Shark Gutter NE Tollgates,-35.75012,150.26204,Australia,20,2008,2012,5,NA,-35.75,150.26
BMP-S13,Broulee North,-35.85507,150.19207,Australia,18,2008,2015,6,NA,-35.86,150.19
BMP-S14,West Longnose Point,-35.83457,150.20885,Australia,18,2010,2015,6,NA,-35.83,150.21
BMP-S15,Burrewarra Point,-35.83132,150.23347,Australia,13,2008,2012,3,NA,-35.83,150.23
BMP-S16,Jimmies Island,-35.81672,150.2343,Australia,16,2008,2011,3,NA,-35.82,150.23
BMP-S17,Pretty Point,-35.80453,150.23347,Australia,14,2008,2011,3,NA,-35.8,150.23
BMP-S18,Yellow Rock,-35.72811,150.26449,Australia,12,2009,2011,3,NA,-35.73,150.26
BMP-S19,North Head,-35.72235,150.27453,Australia,16,2009,2011,3,NA,-35.72,150.27
BMP-S20,Acron Ledge,-35.7203,150.24789,Australia,10,2009,2011,2,NA,-35.72,150.25
BMP-S21,Pretty Point North,-35.80019,150.2369,Australia,14,2008,2011,4,NA,-35.8,150.24
BMP-S22,Garden Point,-35.78389,150.23465,Australia,21,2009,2015,6,NA,-35.78,150.23
BMP-S23,Lilli Pilli North,-35.77133,150.23295,Australia,20,2008,2011,4,NA,-35.77,150.23
BMP-S24,Bingie Bingie Point Nth,-36.01152,150.16517,Australia,12,2010,2011,2,NA,-36.01,150.17
BMP-S26,Mullimburra Point,-35.99157,150.15918,Australia,13,2008,2011,3,NA,-35.99,150.16
BMP-S27,Flat Rock South,-35.68546,150.30408,Australia,12,2010,2012,2,NA,-35.69,150.3
BMP-S29,Wasp Island,-35.66796,150.31036,Australia,12,2010,2012,2,NA,-35.67,150.31
BMP-S30,Montague Is East,-36.2485,150.22827,Australia,6,2011,2015,4,NA,-36.25,150.23
BMP-S32,Bogola Point,-36.26515,150.15226,Australia,9,2008,2010,2,NA,-36.27,150.15
BMP-S33,Bogola North,-36.26173,150.15152,Australia,9,2008,2010,2,NA,-36.26,150.15
BMP-S36,Honeysuckle Bay,-35.71223,150.27862,Australia,20,2009,2013,5,NA,-35.71,150.28
BMP11,Shag Rock N,-35.98354,150.15798,Australia,2,2008,2008,1,NA,-35.98,150.16
BMP12,NE Pedro Point,-35.9282,150.16796,Australia,2,2008,2008,1,NA,-35.93,150.17
BMP13,Moruya South Head E,-35.9072,150.16286,Australia,2,2008,2008,1,NA,-35.91,150.16
BMP14,Burrewarra Pt S,-35.83455,150.22347,Australia,1,2008,2008,1,NA,-35.83,150.22
BMP17,Jimmies Is S,-35.81929,150.23638,Australia,1,2008,2008,1,NA,-35.82,150.24
BMP2,Potato Point - Bills Bommie,-36.09276,150.13934,Australia,5,2008,2009,2,NA,-36.09,150.14
BMP20,Honeysuckle Bay S,-35.71574,150.28025,Australia,1,2008,2008,1,NA,-35.72,150.28
BMP21,Montague Is W (S of the Pinnacle),-36.24683,150.22319,Australia,1,2008,2008,1,NA,-36.25,150.22
BMP22,Montague Is NW shallow bay,-36.24482,150.22451,Australia,8,2008,2015,5,NA,-36.24,150.22
BMP23,Black Rock North,-35.77392,150.24856,Australia,1,2008,2008,1,NA,-35.77,150.25
BMP25,Barren Bommie,-36.13559,150.12916,Australia,6,2011,2015,4,NA,-36.14,150.13
BMP3,Dalmeny point S of ramp off Joshs Beach,-36.16932,150.13612,Australia,1,2008,2008,1,NA,-36.17,150.14
BMP4,Dalmeny Reserve N point,-36.162134,150.130061,Australia,1,2008,2008,1,NA,-36.16,150.13
BMP46,Horseshoe Bay East,-36.42343,150.07957,Australia,2,2012,2015,2,NA,-36.42,150.08
BMP6,Potato Point shark gutter,-36.09594,150.14753,Australia,1,2008,2008,1,NA,-36.1,150.15
BMP7,Potato Point Spud #1,-36.09226,150.14688,Australia,7,2008,2015,5,NA,-36.09,150.15
BMP8,Tuross Lake boat ramp,-36.06581,150.126957,Australia,1,2009,2009,1,NA,-36.07,150.13
BOCAS1,Popa,9.23392,-82.11185,Panama,2,2015,2015,1,NA,9.23,-82.11
BOCAS10,Crawl Cay,9.265417,-82.119056,Panama,3,2015,2015,1,NA,9.27,-82.12
BOCAS11,Almirante-Pondsak,9.291093,-82.345202,Panama,2,2015,2015,1,NA,9.29,-82.35
BOCAS12,Punta Caracal Reef,9.37805,-82.30373,Panama,2,2015,2015,1,NA,9.38,-82.3
BOCAS13,Casa Blanca,9.357578,-82.271572,Panama,2,2015,2015,1,NA,9.36,-82.27
BOCAS2,Almirante,9.28993,-82.34309,Panama,3,2015,2015,1,NA,9.29,-82.34
BOCAS3,Pastores SE,9.237191,-82.328229,Panama,2,2015,2015,1,NA,9.24,-82.33
BOCAS4,Pastores,9.23964,-82.33512,Panama,2,2015,2015,1,NA,9.24,-82.34
BOCAS5,Coco Pt,9.304745,-82.275598,Panama,2,2015,2015,1,NA,9.3,-82.28
BOCAS6,Long Point,9.30155,-82.29475,Panama,2,2015,2015,1,NA,9.3,-82.29
BOCAS7,Hospital Point,9.33324,-82.21558,Panama,4,2015,2015,1,NA,9.33,-82.22
BOCAS8,STRI Point,9.34872,-82.26258,Panama,3,2015,2015,1,NA,9.35,-82.26
BOCAS9,Salt Creek,9.27962,-82.10162,Panama,3,2015,2015,1,NA,9.28,-82.1
BON1,Vista Blue,12.032084,-68.259824,Netherlands Antilles,1,2012,2012,1,NA,12.03,-68.26
BON10,Angel City South,12.101111,-68.287546,Netherlands Antilles,1,2012,2012,1,NA,12.1,-68.29
BON11,Invisibles North,12.071916,-68.281959,Netherlands Antilles,1,2012,2012,1,NA,12.07,-68.28
BON12,Red Slave,12.026236,-68.252486,Netherlands Antilles,1,2012,2012,1,NA,12.03,-68.25
BON14,1000 Steps,12.209978,-68.321698,Netherlands Antilles,1,2012,2012,1,NA,12.21,-68.32
BON2,Pink Beach,12.064554,-68.283181,Netherlands Antilles,1,2012,2012,1,NA,12.06,-68.28
BON3,Jeff Davis,12.204612,-68.314644,Netherlands Antilles,1,2012,2012,1,NA,12.2,-68.31
BON4,Tolo,12.21155,-68.328542,Netherlands Antilles,1,2012,2012,1,NA,12.21,-68.33
BON6,Karpata,12.218796,-68.352027,Netherlands Antilles,1,2012,2012,1,NA,12.22,-68.35
BON7,Windsock,12.13128,-68.285013,Netherlands Antilles,1,2012,2012,1,NA,12.13,-68.29
BON8,The Lake,12.10538,-68.290406,Netherlands Antilles,1,2012,2012,1,NA,12.11,-68.29
BR1,C. Conran Ramp Rock,-37.811883,148.725083,Australia,2,2009,2011,2,NA,-37.81,148.73
BR10,Nth East Beware Reef (Ridge Park),-37.818109,148.784786,Australia,14,2009,2015,7,NA,-37.82,148.78
BR12,Outer East Yeerung Reef,-37.79866667,148.7857,Australia,1,2010,2010,1,NA,-37.8,148.79
BR13,Seal Gully,-37.81963,148.78596,Australia,12,2011,2017,7,NA,-37.82,148.79
BR24,E. Cape Conran Bommie,-37.8034,148.749567,Australia,1,2015,2015,1,NA,-37.8,148.75
BR8,Pearl Point,-37.790384,148.886057,Australia,1,2008,2008,1,NA,-37.79,148.89
BR9,East Pearl Point,-37.78976,148.89565,Australia,5,2009,2016,3,NA,-37.79,148.9
BRA1,PAB04,-17.959116,-38.655646,Brazil,2,2012,2012,1,NA,-17.96,-38.66
BRA10,PA1,-17.699417,-38.94211,Brazil,2,2012,2012,1,NA,-17.7,-38.94
BRA2,PAB03,-17.99809,-38.671337,Brazil,2,2012,2012,1,NA,-18,-38.67
BRA3,Lighthouse Santa Barbara,-17.96548,-38.69404,Brazil,2,2012,2012,1,NA,-17.97,-38.69
BRA4,PAB2,-17.98364,-38.667727,Brazil,2,2012,2012,1,NA,-17.98,-38.67
BRA5,Juarita Isla,-17.96062,-38.69363,Brazil,2,2012,2012,1,NA,-17.96,-38.69
BRA6,Isla Santa Barbara,-17.96253,-38.6964,Brazil,2,2012,2012,1,NA,-17.96,-38.7
BRA7,TIM2,-17.47842,-39.028083,Brazil,4,2012,2012,1,NA,-17.48,-39.03
BRA8,Near ARENG,-17.66486,-38.99882,Brazil,2,2012,2012,1,NA,-17.66,-39
BRA9,ARENG,-17.666638,-38.997194,Brazil,2,2012,2012,1,NA,-17.67,-39
BS-S8,Hogan Island (North Beach),-39.21514893,146.9923859,Australia,8,2013,2013,1,NA,-39.22,146.99
BS1,Turbinaria Slope,-4.5121,129.88875,Indonesia,2,2015,2015,1,NA,-4.51,129.89
BS2,Banda Neira,-4.52338,129.89757,Indonesia,2,2015,2015,1,NA,-4.52,129.9
BS4,Blue House Bay,-4.52632,129.89183,Indonesia,2,2015,2015,1,NA,-4.53,129.89
BS5,Lava Flow East,-4.50935,129.88402,Indonesia,2,2015,2015,1,NA,-4.51,129.88
BS7,Tanjung Burang,-4.51107,129.93881,Indonesia,2,2015,2015,1,NA,-4.51,129.94
BS8,Tanjung Kanari,-4.57843,130.03532,Indonesia,2,2015,2015,1,NA,-4.58,130.04
BS9,Karang Saaru Arrungesi,-4.63746,130.05772,Indonesia,2,2015,2015,1,NA,-4.64,130.06
BZE1,CBC 30 N,16.80407,-88.07896,Belize,3,2016,2016,1,NA,16.8,-88.08
BZE3,Golden Reef,16.80958,-88.08563,Belize,2,2016,2016,1,NA,16.81,-88.09
BZE4,Pelican Reef,16.75328,-88.098421,Belize,2,2016,2016,1,NA,16.75,-88.1
BZE5,Curlew Wall,16.788808,-88.076746,Belize,1,2016,2016,1,NA,16.79,-88.08
BZE6,CB Highway,16.80861,-88.08185,Belize,2,2016,2016,1,NA,16.81,-88.08
CAM2,Secret Reef,10.66321,103.2908,Cambodia,1,2009,2009,1,NA,10.66,103.29
CAM4,House Reef,10.62083,103.29556,Cambodia,1,2009,2009,1,NA,10.62,103.3
CAM5,Condor Reef 2,10.73029,102.86565,Cambodia,1,2009,2009,1,NA,10.73,102.87
CAM7,Back Door,10.62253,103.28933,Cambodia,1,2009,2009,1,NA,10.62,103.29
CAN1,El Poris,28.164429,-16.428869,Spain,6,2011,2011,1,NA,28.16,-16.43
CAN10,Radazul,28.40099,-16.32476,Spain,5,2011,2012,2,NA,28.4,-16.32
CAN100,ROQUE DEL ESTE,29.276463,-13.336351,Spain,2,2015,2015,1,NA,29.28,-13.34
